card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
07-Location 02 14,To Boldly Go,Market,Advanced Location,Khitomer,"Klingon
Romulan
Human","Control - You may free play a Starfleet.
---
Reaction - After your opponent puts an Attack into play, they take an Incident. This is not an Attack.
---
Reaction - After you log an Attack or a card with Military Skill / Focus, gain an Action.",-,Influence
07-Location 02 17,To Boldly Go,Market,Advanced Location,Tanuga IV,"Scientist
Starbase","Control - You may spend 3 Dilithium to scan for either Scientist or Weapon.
---
Clean-Up - Gain 1 Latinum for each Weapon you have in play (max 3) OR gain 1 Dilithium for each Scientist you have in play (max 4).","Military
Research",5.0
07-Location 02 18,To Boldly Go,Market,Advanced Location,Tellar Prime,"Starfleet
Tellarite","Control - No Effect.
---
Activation - Discard a card to find an Incident
---
Activation - Put a card on the top of your deck to send an Away Team to a Location with Starfleet.
---
Endgame - Score 1 for each controlled Location with Starfleet / Starbase you have in play.","Influence
Influence","Endgame
2"
07-Location 03 01,Second Contact,Market,Starting Location,Krulmuth-B,"Time Travel
Anomaly","Control - You may take an Incident to scan for an Orion.
---
Activation - Remove an Away Team from there to look at 2 random Crossover from the Reward pile. Take one of them and destroy the other.
---
Reaction - After putting a Scientist or an Orion into play, send an Away Team here.",-,2.0
07-Location 03 02,Second Contact,Market,Advanced Location,Orion,Orion,"Control - You may spend 1 Latinum to gain a Ship from the top of the deck, and free play it, if able.
---
Activation - Log a Ship from your hand or Discard pile to gain an Action and 1 Dilithium / Latinum.
---
Endgame - Score 1 for each of your Orion cards.","Influence
Military","Endgame
1"
07-Location 99 01,Promo 02,Market,Location,Starbase 80,"Starfleet
Starbase
Ops","Control - Gain a Person / Cargo / Ship from the Junk.
---
Activation - Action: Beam a Person here to junk an Incident from your hand or Discard pile. You may junk a card from the Market.
---
Reaction - When gaining a card, log a card beamed here to include the Junk.
---
Passive - When taking an Incident, you may take it from the Junk.",-,3.0
08-Directive 01 01,Core Box,Market,Directive,Conspiracy,"Starfleet
Surprise
Shady","Play - Free: Discard a Person from your hand to discard this card and draw a card.
---
Special - This card cannot be beamed of discarded by any effect except its own play operation.
---
Special - Before scoring if this card is owned by the bot or logged, destroy it.
---
Surprise (Bot only) - You must choose: take an Incident and put it and this card on the bottom of your deck OR the bot gains 2 Glory and discards the top card of its Supplement deck.",-,-4.0
08-Directive 01 02,Core Box,Market,Directive,Reinforce,-,"Play - Free: Take a card from your Reinforcement pile.
---
Play - Free: If your Reinforcement pile is empty, draw a card, then log this card.",-,-
c01-01 Picard 01,Core Box,Picard,Captain,Jean-Luc Picard,"Starfleet
Human","Captain
---
Away Teams: 5
---
Reaction - After gaining an Ally, discard a card to gain 1 Glory and you may beam the gained card to a Ship.
---
Endgame - Score 1 for each of your Ally cards.",-,Endgame
c01-01 Picard 02,Core Box,Picard,Ship,U.S.S. Enterprise-D,Starfleet,"Deployed
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",Any,-
c01-01 Picard 03,Core Box,Picard,Directive,Make It So,-,"Development - Cost: 3 Dilithium.
---
Play - Free: Return an Incident from your hand or Discard pile.
---
Play - Free, Requires 4 Influence: Select a Secured neutral Location and take control of it. Log this card.",-,Research
c01-01 Picard 04,Core Box,Picard,Ally,Tamarians,Alien,"Development - Cost: 2 Dilithium, and take an Incident.
---
Play - Action: Draw 3 cards. You may discard up to one of each of the following: Person, Cargo, Ship, Ally, Encounter, Incident. Gain 1 Glory for each card discarded this way. Log this card.",-,3.0
c01-01 Picard 05,Core Box,Picard,Cargo,Phasing Cloak,"Starfleet
Ongoing
Weapon
Cloak","Development - Cost: 2 Dilithium, and find a Person and log it.
---
Play - Action: Deploy this card. Junk a card from the Market.
---
Activation - Free play a Ship.
---
Passive - You ignore all opponent Ships when sending Away Teams to a Neutral Location.",-,Influence
c01-01 Picard 06,Core Box,Picard,Location,Daystrom Institute,"Starfleet
Android","Development - Cost: 3 Dilithium, 1 Latinum.
---
Play - Action: Take control of this location.
---
Control - You may scan for a Synthetic.
---
Activation - Find a Synthetic and gain 1 Glory.
---
Activation - Draw a card.
---
Endgame - Score 1 for each of your Synthetic cards.","Research
Research","Endgame
1"
c01-01 Picard 07,Core Box,Picard,Location,Starbase 74,"Starfleet
Starbase","Development - Cost: 2 Dilithium, 1 Latinum.
---
Play - Action: Take control of this location.
---
Control - Find a Person. You may discard a different card to free play the found card.
---
Passive - You may have an additional Person on duty.","Influence
Influence",Influence
c01-01 Picard 08,Core Box,Picard,Person,Deanna Troi,"Starfleet
Betazoid
Telepath
Human","Development - Cost: 2 Dilithium.
---
Play - Free: Draw a card, then either keep it OR discard it to gain 1 Glory OR log it.
---
Passive - You may treat any Incident's play operation as ""Play - Free: Discard a card to return this card. If you do, draw 2 cards"".",Influence,2.0
c01-01 Picard 09,Core Box,Picard,Person,Geordi La Forge,"Starfleet
Engineer
Human
Pilot","Development - Cost: 2 Dilithium.
---
Play - Free: You may find a Ship. You may refresh a Ship.
---
Reaction - After gaining a Ship, gain 1 Glory and you may immediately free play it.",-,Research
c01-01 Picard 10,Core Box,Picard,Ship,U.S.S. Bozeman,"Time Travel
Starfleet
Anomaly","Development - Cost: 5 Dilithium.
---
Play - Action: Deploy this ship. You may enlist a Development.
---
Play - Free, Requires 6 Research: Recall a non-Time Travel card from your Staging Area.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.",Military,2.0
c01-01 Picard 11,Core Box,Picard,Directive,First Contact,-,"Reserve
---
Play - Action: Scan 2 of Ally. Log this card.",-,-
c01-01 Picard 12,Core Box,Picard,Person,Data,"Starfleet
Synthetic
Android
Ops","Reserve
---
Play - Action: Gain 1 Research/Influence/Military.
---
Activation - Log a card from your hand. If you do, gain 1 Research/Influence/Military for every 5 cards in your Log (rounded down).",-,-
c01-01 Picard 13,Core Box,Picard,Person,Beverly Crusher,"Starfleet
Doctor
Human","Reserve
---
Play - Action: Gain 1 Research. You may return an Incident from your Discard pile.
---
Reaction - After taking an Incident, discard a different card to return the Incident and gain 1 Glory.",-,-
c01-01 Picard 14,Core Box,Picard,Ship,Type 7 Shuttlecraft,Starfleet,"Reserve
---
Play - Action: Send an Away Team to a Location where you have a Ship. You may put this card on the top of your deck.
---
Play - Free: Gain 1 Dilithium. Then you may either: beam a card to a Ship OR recall a card beamed to a Ship.",-,-
c01-01 Picard 15,Core Box,Picard,Directive,Analyse,-,"Available
---
Play - Action: Take an Incident to gain a Ship.
---
Play - Action - Discard 2 cards to gain a Cargo.
---
Play - Free: Gain 2 Dilithium.",-,-
c01-01 Picard 16,Core Box,Picard,Directive,Deplomacy,-,"Available
---
Play - Free: Spend 1 Dilithium to draw 2 cards and discard one of them, and gain 1 Influence.
---
Play - Action: Gain an Ally and log this card.",-,-
c01-01 Picard 17,Core Box,Picard,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c01-01 Picard 18,Core Box,Picard,Directive,Strange New Worlds,-,"Available
---
Play - Action: Select a controlled Location. If there is 1+ Away Team and 1+ Ship there, look at the top 2 Encounter. Take one fo them and return the other to the bottom of the its deck. Log the selected Location to gain 1 Research.",-,-
c01-01 Picard 19,Core Box,Picard,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-01 Picard 20,Core Box,Picard,Incident,Red Alert,-,"Available
---
Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer.",-,-
c01-01 Picard 21,Core Box,Picard,Location,Farpoint Station,"Business
Anomaly","Available
---
Play - Action: Take control of this location.
---
Control - Gain 1 Research.
---
Activation - If you have an Away Team here, draw a card. IF you have 3+ total Away Teams on 1 or more controlled Location, draw a card.",Research,-
c01-01 Picard 22,Core Box,Picard,Directive,Set a Course,-,"Available
---
Play - Action: Discard up to 3 Person to send the same number of Away Teams to the same Location.
---
Play - Free: Draw a card, then discard a card. Warp up to 2 of your Ship.",-,-
c01-01 Picard 23,Core Box,Picard,Person,Worf,"Starfleet
Security
Klingon
Attack","Available
---
Play - Action: Take an Incident and discard it. Discard the top card of your deck. Send 2 Away Teams to a neutral Location.
---
Activation - Attack: Discard a card to remove an opponent Away from a Location where you have an Away Team. If you do, gain 1 Glory.",-,-
c01-01 Picard 24,Core Box,Picard,Person,Will Riker,"Starfleet
Human","Available
---
Play - Action: Draw 2 cards from your Discard pile. You may spend 1 Dilithium to send an Away Team to a Location. If you targeted a controlled Location, trigger that card's control operation.
---
Resupply - Discard the top card of your deck and gain 1 Latinum.
---
Activation - Free play a Ship with Starfleet.
---
Activation - Draw a Ship from your Discard pile.",-,-
c01-01 Picard 25,Core Box,Picard,Mission,Peace Negotiations,-,"Goal - Have 3 Ally on the same Ship, and at least two of Military/Influence/Research at 4+.
---
Reward - Gain 4 Dilithium and draw 4 cards. You may junk a card from the Market.",5.0,
c01-01 Picard 26,Core Box,Picard,Mission,Arbiter of Succession,-,"Goal - Have 3 Klingon on the same Ship.
---
Reward - Gain 1 Glory, and 1 Influence/Military. Gain an Action. You may junk a card from the Market.",3.0,
c01-01 Picard 27,Core Box,Picard,Mission,Seek Out New Life,-,"Goal - Have 6 Different Species (excluding cards with Human/Starfleet) in play. Each Alien and each Transcendent counts as a different one.
---
Reward - Take the top Encounter.",2.0,
c01-02 Shran 01,Core Box,Shran,Captain,Thy'lek Shran,"Andorian
Imperial","Captain
---
Away Teams: 5
---
Resupply - Gain 1 Dilithium per Cargo you have in play.
---
Activation - Action - Discard a Cargo to send an Away Team to a controlled Location.",-,Influence
c01-02 Shran 02,Core Box,Shran,Ship,Kumari,Andorian,"Deployed
---
Play - Action: Deploy this ship. Warp this ship OR beam a card here.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Promote a Person from your hand to Duty Officer.",Any,-
c01-02 Shran 03,Core Box,Shran,Ally,Aenar,"Telepath
Aenar","Development - Cost: Find a Weapon and log it.
---
Play - Free: Draw 3 cards. You may log one of the drawn cards. You may discard one of the drawn cards to gain 1 Influence.",-,3.0
c01-02 Shran 04,Core Box,Shran,Location,Coridan,Business,"Development - Cost: 2 Dilithium, 1 Latinum.
---
Play - Action: Take control of this location.
---
Control - You may discard 2 cards to gain 2 Dilithium and 2 Latinum.
---
Resupply - Gain 1 Dilithium. If you have 7+ Influence, gain an additional 1 Dilithium.
---
Endgame - Score 1 for every 4 Dilithium you have.",-,"Endgame
3"
c01-02 Shran 05,Core Box,Shran,Directive,Commando Unit,"Andorian
Security","Development - Cost: 3 Dilithium.
---
Play - Free: Send an Away Team to a Location where you have a Ship. You may find a Weapon.
---
Play - Action: Scan for a Weapon and draw a card.",-,Military
c01-02 Shran 06,Core Box,Shran,Cargo,Tenebian Amethyst,Business,"Development - Cost: 1 Dilithium, 1 Latinum.
---
Play - Free: Gain 2 Latinum. You may log a Person from your hand or Discard pile to log this card.
---
Special - When you log this card (via any effect), gain 3 Glory.",-,2.0
c01-02 Shran 07,Core Box,Shran,Ship,Andorian Cruiser,Andorian,"Development - Cost: 5 Dilithium.
---
Play - Action: Deploy this ship. You may spend 1 Dilithium to warp this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Send an Away Team to this ship's Location.",Military,4.0
c01-02 Shran 08,Core Box,Shran,Cargo,Andorian Ale,"Andorian
Beverage","Development - Cost: 1 Dilithium, 1 Latinum.
---
Play - Action: Spend 2 Latinum to scan 1 of Ally, including from the Junk. Junk a card from the Market.",-,Influence
c01-02 Shran 09,Core Box,Shran,Person,Ambassador Thoris,"Ambassador
Andorian","Development - Cost: 2 Dilithium.
---
Play - Action: All players may return an Incident from their hard or Discard pile. For each Incident returned, gain 1 Glory.
---
Activation - Gain 1 Glory for each Ally you have in play.",-,Influence
c01-02 Shran 10,Core Box,Shran,Person,Jhamel,"Communication
Telepath
Aenar","Reserve
---
Play - Free: Draw a card, then either keep it OR discard it to gain 1 Glory OR log it.
---
Passive - After taking an Incident, you may find a Person.",-,-
c01-02 Shran 11,Core Box,Shran,Directive,You Owe Me One,Ongoing,"Reserve
---
Play - Free: Deploy this card. Gain 1 Glory.
---
Reaction - After you or your opponent plays Utilise, choose: draw a card and your opponent gains 2 Dilithium OR gain 2 Dilithium and your opponent may draw a card.",-,-
c01-02 Shran 12,Core Box,Shran,Location,Weytahn,"Andorian
Imperial
Vulcan","Reserve
---
Play - Action: Take control of this location.
---
Control - You may free play a Cargo or a Ship.
---
Clean-Up - If there are no Away Teams here, dismiss this card.
---
Activation - Discard a card with at least one of Weapon / Military Skill / Military Focus to send an Away Team here and gain 1 Influence.
---
Endgame - Score 4 if 2 or more Away Teams are here.",-,Endgame
c01-02 Shran 13,Core Box,Shran,Ally,United Earth,Human,"Reserve
---
Play - Action: Scan for a Human. Log this card.
---
Play - Action: Take an Incident to scan 2 of Ally. You may free play the gained card. If you do, log this card.",-,-
c01-02 Shran 14,Core Box,Shran,Incident,Trade Embargo,-,"Reserve
---
Play - Action: Spend 1 Latinum to return this card. You may refresh a Ship.",-,-2.0
c01-02 Shran 15,Core Box,Shran,Incident,Red Alert,-,"Available
---
Play - Action: Put a card on the top of your deck to return this card. You may promote a Person from your Staging Area to Duty Officer.",-,-2.0
c01-02 Shran 16,Core Box,Shran,Directive,Imperial Pride,-,"Available
---
Play - Action: Remove an Away Team from 3 different controlled Location to look at the top 2 Encounter. Take one of them and return the other to the bottom of its deck.
---
Play - Action: Spend 10 Dilithium and log a controlled Location to take the top Encounter. If the logged card shares no traits with you Captain, gain 1 Influence.",-,-
c01-02 Shran 17,Core Box,Shran,Directive,Confiscate,-,"Available
---
Play - Action: Spend 4 Dilithium to gain a Ship.
---
Play - Action: Spend 2 Dilithium to gain a Cargo.
---
Play - Free: Gain 1 Latinum.",-,-
c01-02 Shran 18,Core Box,Shran,Directive,Recruit,-,"Available
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c01-02 Shran 19,Core Box,Shran,Cargo,Ushaan-tor,"Andorian
Weapon
Attack","Available
---
Play - Free, Attack: Discard an Andorian to gain 1 Glory and force your opponent to dismiss (one of) their Duty Officer(s).",-,-
c01-02 Shran 20,Core Box,Shran,Person,Talas,"Andorian
Attack
Ops","Available
---
Play - Action, Attack: Send an Away Team to a Location. Dismiss an Opponent Vulcan/Tellarite/Romulan (of your choice).
---
Activation - Discard 2 cards to send an Away Team to a Location.",Influence,-
c01-02 Shran 21,Core Box,Shran,Person,Tarah,"Andorian
Security
Attack","Available
---
Play - Action: Send an Away Team to a Location.
---
Play - Free, Attack: Gain 1 Glory and discard the top card of your opponent's Draw deck. If it is a Person, you both take an Incident.
---
Activation - Requires 5 Military: Discard a card to refresh a Ship and a Location. If the discard card is a Weapon, gain 2 Glory.",Military,-
c01-02 Shran 22,Core Box,Shran,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-02 Shran 23,Core Box,Shran,Location,Andoria,Andorian,"Available
---
Play - Action: Take control of this location.
---
Control - Gain 1 Military and 1 Influence.
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Teams on 1 or more controlled Location, draw a card.",-,-
c01-02 Shran 24,Core Box,Shran,Cargo,Plasma Rilfes,"Andorian
Ongoing
Weapon
Attack","Available
---
Play - Action: Spend 1 Dilithium to gain 1 Military. Junk a card from the Market. Deploy this Card.
---
Activation - Attack: Discard an Andorian to remove 1 opponent Away Team from a Location. If an Away Team was removed from this way from a Location controlled by your opponent, they take an Incident. Dismiss this card.",-,-
c01-02 Shran 25,Core Box,Shran,Mission,Securing Andoria's Borders,-,"Goal - Have 3 controlled Location in play, and 4 Weapon in play.
---
Reward - Scan 1 of Ship, draw a card, gain an Action.",-,2.0
c01-02 Shran 26,Core Box,Shran,Mission,Founding the Federation,-,"Goal - Have 1 Human and 3 different of Vulcan/Tellarite/Andorian/Alien/Ambassador/Communication on the same Ship.
---
Reward - Gain 2 Research, 2 Influence, and 2 Military. You may send an Away Team to a Location with Starbase.",-,4.0
c01-02 Shran 27,Core Box,Shran,Mission,Andorian Mining Consortium,-,"Goal - Have 3 Business in play.
---
Reward - Scan 1 of Cargo, gain 2 Latinum, and 1 Glory. You may free play an Incident to gain 1 Glory.",-,3.0
c01-03 Koloth 01,Core Box,Koloth,Captain,"Koloth, the Dahar Master","Klingon
Weapon","Captain
---
Away Teams: 6
---
Activation - Put a card on the top of your deck to send an Away Team to a Location. Your opponent may draw a card.",-,Military
c01-03 Koloth 02,Core Box,Koloth,Ship,I.K.S. Gr'oth,Klingon,"Deployed
---
Play - Free: Deploy this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Send an Away Team to this ship's Location.
---
Activation - Promote a Person from your hand to Duty Officer.",-,-
c01-03 Koloth 03,Core Box,Koloth,Cargo,Protoype Cloak,"Ongoing
Attack
Cloak","Development - Cost: 3 Dilithium.
---
Play - Free, Attack: Deploy this card. Refresh a Ship. Junk a card from the Market. If the opponent has 2 or more Ship deployed, force them to either dismiss on OR take an Incident.
---
Reaction - After deploying a Ship without Cloak, that ship gains Cloak for the remainder of your turn. Then, you may discard a card to send an Away Team to a Location, ignoring any opponent Ship.",-,Military
c01-03 Koloth 04,Core Box,Koloth,Cargo,Sword of Kahless,"Imperial
Klingon
Weapon","Development - Cost: 5 Dilithium, OR free if the I.K.S. Devisor is in play.
---
Play - Action, Requires 9 Military: Junk a card from the Market. Dismiss a Klingon Duty Officer to gain 4 Glory. Log this card.",-,6.0
c01-03 Koloth 05,Core Box,Koloth,Location,Boreth,"Time Travel
Klingon
Anomaly","Development - Cost: 6 Dilithium, and have 10+ Glory.
---
Play - Action: Take control of this location.
---
Control - Find any card and free play it.
---
Activation - Spend 1 Dilithium to draw the bottom card of your deck.
---
Activation - Spend 1 Dilithium and discard a card to recall a non-Time Travel card from your Staging Area.
---
Endgame - Score 1 for each [Skill Icon] you have in play (excluding beamed cards).",Any,"Endgame
1"
c01-03 Koloth 06,Core Box,Koloth,Person,Curzon Dax,"Ambassador
Trill","Development - Cost: 2 Dilithium, 2 Latinum.
---
Play - Free: Gain 1 Influence/Military, whichever is lower (you choose in a tie).
---
Play - Free: Return an Incident.
---
Activation - Action: Discard a card to scan 2 of Ally.",-,2.0
c01-03 Koloth 07,Core Box,Koloth,Person,"Kang, the Dahar Master","Klingon
Weapon","Development - Cost: 4 Dilithium, and have 8+ Glory.
---
Play - Action: Return an Incident from your hand of Discard pile and gain 1 Glory.
---
Play - Action: If you have at least 15 Glory, destroy this card to take the top Encounter and gain 3 Glory.
---
Reaction - After gaining a least 1 Influence, gain 1 Influence and 1 Glory.",-,3.0
c01-03 Koloth 08,Core Box,Koloth,Person,"Kor, the Dahar Master","Klingon
Weapon","Development - Cost: 2 Dilithium, 1 Latinum, and have 10+ Glory.
---
Play - Free: Send an Away Team to a neutral Location. If that Location is now secured, you may spend an Action to take control of it. If you do, log this card.
---
Reaction - After gaining at least 1 Influence, gain 1 Military and you may warp a Ship.",-,Military
c01-03 Koloth 09,Core Box,Koloth,Ship,I.K.S. Devisor,Klingon,"Development - Cost: 5 Dilithium.
---
Play - Free: Deploy this ship, gain 1 Glory.
---
Activation - Spend 1 Glory to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Send an Away Team to ship ship's Location.",-,Military
c01-03 Koloth 10,Core Box,Koloth,Directive,Recruit,-,"Reserve
---
Play - Action: Put a card on the top of your deck to gain a Person.
---
Play - Action: Take an Incident to gain an Ally.",-,-
c01-03 Koloth 11,Core Box,Koloth,Incident,Energy Drain,-,"Reserve
---
Play - Action: Spend 2 Dilithium to return this card. If you have an Engineer in play, gain an Action.",-,-2.0
c01-03 Koloth 12,Core Box,Koloth,Incident,Hostile Contact,-,"Reserve
---
Play - Action: Discard a card to return this card. If the discarded card has Military gain, 2 Dilithium.
---
Play - Action: If you have a Communication in play, return this card and gain 2 Dilithium.",-,-2.0
c01-03 Koloth 13,Core Box,Koloth,Location,Rura Penthe,-,"Reserve
---
Play - Action: Take control of this location.
---
Control - Gain 2 Dilithium.
---
Resupply - Gain 1 Dilithium for each Person beamed here.
---
Activation - Beam a Person here.",Influence,-
c01-03 Koloth 14,Core Box,Koloth,Person,Mara,"Scientist
Klingon","Reserve
---
Play - Action: Spend 3 Glory to gain 2 Science/Influence/Military. You may discard a Person without Klingon to gain 1 Glory.
---
Resupply - Gain 1 Science.",-,-
c01-03 Koloth 15,Core Box,Koloth,Directive,Confiscate,-,"Available
---
Play - Action: Spend 4 Dilithium to gain a Ship.
---
Play - Action: Spend 2 Dilithium to gain a Cargo.
---
Play - Free: Gain 1 Latinum.",-,-
c01-03 Koloth 16,Core Box,Koloth,Directive,Conquer,-,"Available
---
Play - Action: You may discard a Person and take an Incident to send 2 Away Teams to a Location where you have a Ship. You may dismiss a Ship to gain a Person/Ship/Ally.",Any,-
c01-03 Koloth 17,Core Box,Koloth,Directive,Good Day to Die,-,"Available
---
Play - Action: You may log a Person beamed to a Ship to gain 1 Military. Log a deployed ship and dismiss another deployed Ship to look at the top 2 Encounter. Take one of them and return the other to the bottom of its deck.",-,-
c01-03 Koloth 18,Core Box,Koloth,Directive,Utilise,-,"Available
---
Play - Action: Gain 1 Dilithium, and 2 Dilithium for each controlled Location you have in play.
---
Play - Action: Gain on one Specialty track for each matching Skill icon you have in play (excluding beamed cards).",-,-
c01-03 Koloth 19,Core Box,Koloth,Cargo,Klingon Disruptors,"Weapon
Attack","Available
---
Play - Action: Discard a Klingon. If you do, up to twice: remove an opponent Away Team from a neutral Location where you have an Away Team. Gain 1 Glory for each Away Team removed.
---
Play - Action: Gain 1 Military.",-,-
c01-03 Koloth 20,Core Box,Koloth,Location,Qo'nos,"Imperial
Klingon","Available
---
Play - Action: Take control of this location.
---
Control - Gain 1 Influence.
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Teams on 1 or more controlled Location, draw a card. You may pay 2 Dilithium and discard a card to draw a card.","Military
Military",-
c01-03 Koloth 21,Core Box,Koloth,Person,Arne Darvin,"Klingon
Attack
Human
Spy","Available
---
Play - Action, Attack: Gain 1 Dilithium and steal 1 Dilithium.
---
Play - Action, Attack, Requires 4 Influence: Force your opponent to dismiss a Duty Officer. You take an Incident and gain 3 Glory and Log this card.
---
Passive - Increase your hand size by 1.",-,-
c01-03 Koloth 22,Core Box,Koloth,Person,Korax,"Klingon
Attack","Available
---
Play - Free, Attack: Gain 1 Glory and discard the top card of your opponent's Draw deck. IF it is a Person, you both take an Incident.
---
Clean-Up - For each unspent Action, temporarily increase your hand size by 1 and you may gain 1 Glory.
---
Activation: Refresh the I.K.S. Gr'oth. You may discard a card to refresh another Ship with Klingon.",-,-
c01-03 Koloth 23,Core Box,Koloth,Person,Krell,Klingon,"Available
---
Play - Action: Spend 1 Dilithium to scan 2 of Cargo. If the gained card has Weapon, gain 1 Influence.
---
Resupply - If you have a Weapon in play (excluding your Captain), gain 1 Latinum, and 1 Dilithium. If you have 2+ Weapon in play (excluding your Captain), also gain 1 Glory.",-,-
c01-03 Koloth 24,Core Box,Koloth,Ship,I.K.S. Klothos,Klingon,"Available
---
Play - Free: Deploy this ship.
---
Activation - Spend 1 Dilithium to warp this ship.
---
Activation - Discard a card to beam a card here.
---
Activation - Action: Send an Away Team to this ship's Location.",-,-
c01-03 Koloth 25,Core Box,Koloth,Mission,Expanding the Empire,-,"Goal - Have a total of 6 deployed Ship / controlled Location in play, at least one of each.
---
Reward - Enlist two Reserves or Enlist a Development. Dismiss a deployed Ship.",-,3.0
c01-03 Koloth 26,Core Box,Koloth,Mission,Romulan Weapons Trade Agreement,-,"Goal - Have 1 or more Romulan on a Ship that has Klingon.
---
Reward - Gain 1 Military for each Romulan in play. Enlist Prototype Cloak for free. You may Junk a card from the Market.",-,1.0
c01-03 Koloth 27,Core Box,Koloth,Mission,Sabotage,-,"Goal - Have 2 Different Species (excluding cards with Klingon), 2 Weapon (excluding your Captain), and 1 Scientist in play.
---
Reward - Attack: Enlist a Reserve. You may force your opponent to take 2 Incident.",-,4.0
c01-04 Sisko 01,Core Box,Sisko,Captain,Benjamin Sisko,"Transcendent
Starfleet
Human","Captain
---
Away Teams: 6
---
Reaction - After you take control of a Location, gain 2 Dilithium.
---
Activation - Action: Send an Away Team to a Location with Starfleet/Starbase.
---
Endgame - Score 1 for each controlled Location you have in play.",-,Endgame
c01-04 Sisko 02,Core Box,Sisko,Location,Bajor,Bajoran,"Controlled Location
---
Activation - If you have an Away Team here, draw a card. If you have 3+ total Away Teams on 1 or more controlled Location, draw a card.",Influence,-
c01-04 Sisko 03,Core Box,Sisko,Ship,Deep Space 9,"Cardassian
Starbase","Deployed
---
Play - Deploy this card.
---
Activation - Discard a card to either: beam a card here OR recall a card beamed here.
---
Activation - Promote a Person from your have to Duty Offiver
---
Passive - This ship cannot be warped.",-,-
c01-04 Sisko 04,Core Box,Sisko,Cargo,Orb of Prophecy and Change,"Transcendent
Wildcard","Development - Cost: 3 Dilithium, 2 Latinum.
---
Play - Free: Refresh a Bajoran to draw a card.
---
Play - Free: Discard a card to find a Bajoran.
---
Play - Action: Discard a Person to enlist a Development, reducing the cost by 1 Dilithium and 1 Latinum. Log this card.",-,Research
c01-04 Sisko 05,Core Box,Sisko,Encounter,Orb of the Emissary,"Transcendent
Wildcard
Anomaly","Development - Cost: 3 Dilithium, 3 Latinum.
---
THIS CARD CANNOT BE PLAYED.",-,7.0
c01-04 Sisko 06,Core Box,Sisko,Cargo,Self-Replicating Mines,"Ongoing
Attack","Development - Cost: 5 Dilithium.
---
Play - Free, Attack: Force your opponent to discard a card. Draw two cards and discard one of them. Deploy this card.
---
Resupply - Gain 1 Glory.
---
Reaction - After your opponent gains Influence/Military, recall this card.
---
Passive - When you would be attacked, ignore the negative effect and log this card.",Influence,Influence
c01-04 Sisko 07,Core Box,Sisko,Location,Starbase 375,"Starfleet
Starbase","Development - Cost: 4 Dilithium.
---
Play - Action: Take control of this location.
---
Control - You may find a Ship.
---
Reaction - After putting a Ship into play, free play a Person.",Military,Military
c01-04 Sisko 08,Core Box,Sisko,Person,Julian Bashir,"Starfleet
Augment
Doctor
Human","Development - Cost: 2 Dilithium.
---
Play - Free: Free play an Incident from your have or Discard pile. If you do, gain 1 Research.
---
Activation - Spend 1 Dilithium to choose 2 of the following: find a Person with Spy OR find a Person with Augment OR find Miles O'Brien OR return an Incident.",-,2.0
c01-04 Sisko 09,Core Box,Sisko,Person,Garak,"Cardassian
Attack
Shady
Spy","Development - Cost: 2 Latinum.
---
Play - Action, Attack: Choose 2 of the following: Dismiss (one of) your opponent's Duty Officer(s) and you draw a card OR gain 1 Influence OR spend 1 Latinum to scan 2 of Person.
---
Passive - Increase your hand size by 2.",-,2.0
c01-04 Sisko 10,Core Box,Sisko,Person,"Worf, Son of Mogh","Starfleet
Klingon
Attack","Development - Cost: 2 Dilithium.
---
Play - Action: Discard 2 cards to send 2 Away Team to the same Location.
---
Reaction - When you would be attacked, dismiss this card to ignore the negative effect.
---
Activation - Attack: Remove an opponent Away Team from a neutral Location. Gain 1 Glory.",Military,2.0
